                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     96,                0.98929,                    nan,                0.96442,                0.88237,                0.87284,                0.92048,                0.53568,                 1.5484,                 0.6277,                 1.3989,               0.009976,               0.009976,               0.009976
                     97,                0.99238,                0.40758,                0.96466,                0.88896,                 0.8677,                0.91739,                0.53946,                 1.5309,                0.62619,                 1.3868,              0.0099755,              0.0099755,              0.0099755
                     98,                0.97875,                0.40326,                0.95455,                0.88885,                0.85858,                0.91702,                0.53748,                 1.5365,                0.63222,                 1.3824,               0.009975,               0.009975,               0.009975
                     99,                0.97888,                0.40343,                 0.9507,                0.89262,                0.85314,                0.91723,                0.54046,                 1.5347,                0.62959,                 1.3868,              0.0099745,              0.0099745,              0.0099745
                    100,                0.95549,                 0.3976,                0.94851,                0.88009,                0.86457,                0.91664,                 0.5395,                 1.5459,                0.63753,                 1.4001,               0.009974,               0.009974,               0.009974
                    101,                0.96682,                0.39982,                0.94469,                0.88116,                0.86927,                0.91962,                 0.5433,                 1.5326,                0.62932,                 1.3889,              0.0099734,              0.0099734,              0.0099734
                    102,                0.95864,                0.39533,                 0.9495,                0.88733,                0.86528,                0.91828,                0.54532,                  1.533,                0.63275,                 1.3873,              0.0099729,              0.0099729,              0.0099729
                    103,                0.96832,                0.39694,                0.95504,                 0.8887,                0.85922,                 0.9173,                0.53988,                 1.5405,                 0.6298,                 1.3914,              0.0099723,              0.0099723,              0.0099723
                    104,                0.94036,                0.38906,                0.94555,                0.87473,                0.86822,                 0.9137,                0.53781,                  1.541,                0.64457,                 1.4042,              0.0099718,              0.0099718,              0.0099718
                    105,                0.95008,                0.39808,                0.93719,                0.88892,                0.85475,                0.91604,                0.53882,                 1.5387,                0.64258,                 1.4049,              0.0099712,              0.0099712,              0.0099712
                    106,                0.93338,                0.39041,                0.94498,                0.89194,                0.85638,                0.91444,                0.53744,                 1.5371,                0.63699,                 1.3932,              0.0099707,              0.0099707,              0.0099707
                    107,                0.94884,                0.38838,                0.94171,                0.89691,                0.85132,                0.91311,                0.53954,                 1.5304,                 0.6478,                 1.4038,              0.0099701,              0.0099701,              0.0099701
                    108,                0.93795,                0.38396,                0.94436,                0.88028,                 0.8565,                0.91339,                0.54284,                 1.5302,                0.65116,                 1.4013,              0.0099695,              0.0099695,              0.0099695
                    109,                0.92126,                0.38029,                0.94369,                0.88619,                0.85746,                0.91409,                0.54267,                 1.5224,                0.64404,                 1.4121,               0.009969,               0.009969,               0.009969
                    110,                0.91393,                0.37805,                0.94148,                0.88658,                0.86305,                0.91283,                0.54001,                 1.5337,                0.64747,                 1.4158,              0.0099684,              0.0099684,              0.0099684
                    111,                0.91321,                0.38019,                0.93293,                0.89377,                0.85076,                0.91424,                0.53963,                 1.5423,                0.64459,                   1.42,              0.0099678,              0.0099678,              0.0099678
                    112,                0.91957,                0.37949,                0.93121,                0.88738,                0.86225,                0.91603,                0.54104,                 1.5402,                0.64129,                 1.4192,              0.0099672,              0.0099672,              0.0099672
                    113,                0.91286,                 0.3748,                0.92309,                0.89547,                0.85052,                0.91172,                0.54089,                 1.5229,                0.64129,                 1.4024,              0.0099666,              0.0099666,              0.0099666
                    114,                0.90024,                0.37461,                 0.9294,                0.89808,                0.84105,                0.90275,                0.52918,                 1.5354,                0.66475,                 1.4082,               0.009966,               0.009966,               0.009966
                    115,                0.90973,                 0.3721,                0.93223,                0.88676,                0.85741,                0.90862,                0.53241,                 1.5325,                0.64821,                 1.4025,              0.0099654,              0.0099654,              0.0099654
                    116,                0.90101,                0.37283,                 0.9247,                0.88162,                0.86298,                0.91406,                0.53773,                 1.5457,                0.66616,                 1.3993,              0.0099648,              0.0099648,              0.0099648
                    117,                0.90914,                0.37898,                0.92974,                0.87575,                0.86854,                0.91253,                0.54274,                 1.5316,                0.63704,                 1.3998,              0.0099641,              0.0099641,              0.0099641
                    118,                0.86791,                0.36578,                0.92193,                0.88211,                0.86232,                0.91318,                0.54032,                 1.5372,                0.65757,                  1.403,              0.0099635,              0.0099635,              0.0099635
                    119,                0.90929,                0.37908,                0.91893,                0.89149,                0.85411,                0.91313,                0.54209,                 1.5285,                0.65474,                  1.413,              0.0099629,              0.0099629,              0.0099629
                    120,                0.88739,                0.36808,                0.91998,                0.89055,                0.85588,                0.91173,                0.53375,                 1.5354,                0.64843,                  1.436,              0.0099623,              0.0099623,              0.0099623
                    121,                0.89501,                0.37099,                0.92311,                0.89052,                0.85634,                0.91075,                0.53961,                 1.5358,                0.65788,                 1.4291,              0.0099616,              0.0099616,              0.0099616
                    122,                 0.8714,                0.36631,                0.91331,                0.87959,                0.86241,                0.91077,                0.53706,                 1.5418,                 0.6644,                 1.4298,               0.009961,               0.009961,               0.009961
                    123,                0.87929,                0.36229,                0.91909,                0.89021,                0.84773,                0.91164,                0.54346,                 1.5254,                0.67518,                 1.4128,              0.0099603,              0.0099603,              0.0099603
                    124,                0.88714,                0.36456,                0.91585,                0.88518,                0.85647,                0.91073,                0.54376,                 1.5188,                0.65555,                 1.4182,              0.0099597,              0.0099597,              0.0099597
                    125,                 0.8649,                0.35763,                0.91468,                0.88383,                0.85682,                 0.9126,                0.54309,                 1.5324,                0.66009,                 1.4178,               0.009959,               0.009959,               0.009959
                    126,                0.86604,                0.36245,                0.91039,                0.89217,                0.84253,                0.91054,                0.54077,                 1.5393,                0.66768,                 1.4276,              0.0099583,              0.0099583,              0.0099583
                    127,                0.85514,                0.35724,                0.91187,                0.88801,                0.85794,                0.91377,                0.54336,                 1.5383,                0.65298,                 1.4495,              0.0099577,              0.0099577,              0.0099577
                    128,                0.86108,                0.35719,                0.91956,                0.89702,                0.84836,                0.91187,                 0.5465,                 1.5281,                0.66282,                 1.4327,               0.009957,               0.009957,               0.009957
                    129,                0.85299,                   -inf,                0.91024,                 0.8897,                0.85283,                0.90922,                0.54113,                 1.5316,                0.68126,                 1.4425,              0.0099563,              0.0099563,              0.0099563
                    130,                0.85871,                0.36417,                0.91271,                0.88491,                0.85954,                0.90868,                0.53341,                 1.5242,                 0.6634,                 1.4371,              0.0099556,              0.0099556,              0.0099556
                    131,                0.83471,                0.34888,                0.90861,                0.89693,                0.84246,                0.91239,                0.54637,                 1.5275,                0.66967,                 1.4271,              0.0099549,              0.0099549,              0.0099549
                    132,                0.83928,                0.34801,                0.90426,                0.89115,                0.84741,                0.90923,                0.54038,                 1.5215,                0.67424,                 1.4333,              0.0099542,              0.0099542,              0.0099542
                    133,                0.86617,                0.35928,                0.90225,                0.88174,                0.86002,                0.91025,                0.54183,                 1.5253,                0.66807,                 1.4366,              0.0099535,              0.0099535,              0.0099535
